timestamp  ; accountID ; userID ; machineID; Machinetype;  machine ; actual_powerOn_startTime ; planned_endTime ; planned_duration
2022-03-20 19:06:32.440273;account??;user??;l1;Laundry;{'machineID': 'l1', 'name': 'Vaskemaskine1', 'machineType': 'Laundry', 'startTime': '2022-03-20 19:06:32.440203', 'endTime': '2022-03-20 18:59:55', 'pin': 17}; startTime:2022-03-20 19:06:32.440203 ; endTime:2022-03-20 18:59:55; duration:-397
2022-03-20 19:06:32.441694;account??;user??;l1;Laundry;{'machineID': 'l1', 'name': 'Vaskemaskine1', 'machineType': 'Laundry', 'startTime': '2022-03-20 19:06:32.440203', 'endTime': '2022-03-20 19:06:32.441629', 'pin': 17}; machine turned off ; endTime:2022-03-20 19:06:32.441629
2022-03-20 19:06:57.522313;account??;user??;l1;Laundry;{'machineID': 'l1', 'name': 'Vaskemaskine1', 'machineType': 'Laundry', 'startTime': '2022-03-20 19:06:57.522251', 'endTime': '2022-03-20 19:07:55', 'pin': 17}; startTime:2022-03-20 19:06:57.522251 ; endTime:2022-03-20 19:07:55; duration:57
2022-03-20 19:07:54.579206;account??;user??;l1;Laundry;{'machineID': 'l1', 'name': 'Vaskemaskine1', 'machineType': 'Laundry', 'startTime': '2022-03-20 19:06:57.522251', 'endTime': '2022-03-20 19:07:54.579142', 'pin': 17}; machine turned off ; endTime:2022-03-20 19:07:54.579142
2022-03-20 19:09:06.005887;account??;user??;l1;Laundry;{'machineID': 'l1', 'name': 'Vaskemaskine1', 'machineType': 'Laundry', 'startTime': '2022-03-20 19:09:06.005814', 'endTime': '2022-03-20 19:08:55', 'pin': 17}; startTime:2022-03-20 19:09:06.005814 ; endTime:2022-03-20 19:08:55; duration:-11
2022-03-20 19:09:06.007459;account??;user??;l1;Laundry;{'machineID': 'l1', 'name': 'Vaskemaskine1', 'machineType': 'Laundry', 'startTime': '2022-03-20 19:09:06.005814', 'endTime': '2022-03-20 19:09:06.007394', 'pin': 17}; machine turned off ; endTime:2022-03-20 19:09:06.007394
2022-03-20 19:09:19.826669;account??;user??;l1;Laundry;{'machineID': 'l1', 'name': 'Vaskemaskine1', 'machineType': 'Laundry', 'startTime': '2022-03-20 19:09:19.826600', 'endTime': '2022-03-20 19:09:55', 'pin': 17}; startTime:2022-03-20 19:09:19.826600 ; endTime:2022-03-20 19:09:55; duration:35
2022-03-20 19:09:58.138209;account??;user??;l1;Laundry;{'machineID': 'l1', 'name': 'Vaskemaskine1', 'machineType': 'Laundry', 'startTime': '2022-03-20 19:09:58.138115', 'endTime': '2022-03-20 19:09:55', 'pin': 17}; startTime:2022-03-20 19:09:58.138115 ; endTime:2022-03-20 19:09:55; duration:-3
2022-03-20 19:09:58.139709;account??;user??;l1;Laundry;{'machineID': 'l1', 'name': 'Vaskemaskine1', 'machineType': 'Laundry', 'startTime': '2022-03-20 19:09:58.138115', 'endTime': '2022-03-20 19:09:58.139653', 'pin': 17}; machine turned off ; endTime:2022-03-20 19:09:58.139653
2022-03-20 19:10:14.232317;account??;user??;l1;Laundry;{'machineID': 'l1', 'name': 'Vaskemaskine1', 'machineType': 'Laundry', 'startTime': '2022-03-20 19:10:14.232251', 'endTime': '2022-03-20 19:10:20', 'pin': 17}; startTime:2022-03-20 19:10:14.232251 ; endTime:2022-03-20 19:10:20; duration:5
2022-03-20 19:10:19.238505;account??;user??;l1;Laundry;{'machineID': 'l1', 'name': 'Vaskemaskine1', 'machineType': 'Laundry', 'startTime': '2022-03-20 19:10:14.232251', 'endTime': '2022-03-20 19:10:19.238408', 'pin': 17}; machine turned off ; endTime:2022-03-20 19:10:19.238408
2022-03-20 19:11:04.319038;account??;user??;l1;Laundry;{'machineID': 'l1', 'name': 'Vaskemaskine1', 'machineType': 'Laundry', 'startTime': '2022-03-20 19:11:04.318959', 'endTime': '2022-03-20 19:10:40', 'pin': 17}; startTime:2022-03-20 19:11:04.318959 ; endTime:2022-03-20 19:10:40; duration:-24
2022-03-20 19:11:04.320458;account??;user??;l1;Laundry;{'machineID': 'l1', 'name': 'Vaskemaskine1', 'machineType': 'Laundry', 'startTime': '2022-03-20 19:11:04.318959', 'endTime': '2022-03-20 19:11:04.320396', 'pin': 17}; machine turned off ; endTime:2022-03-20 19:11:04.320396
2022-03-20 19:11:12.952204;account??;user??;l1;Laundry;{'machineID': 'l1', 'name': 'Vaskemaskine1', 'machineType': 'Laundry', 'startTime': '2022-03-20 19:11:12.952140', 'endTime': '2022-03-20 19:11:40', 'pin': 17}; startTime:2022-03-20 19:11:12.952140 ; endTime:2022-03-20 19:11:40; duration:27
2022-03-20 19:11:39.980372;account??;user??;l1;Laundry;{'machineID': 'l1', 'name': 'Vaskemaskine1', 'machineType': 'Laundry', 'startTime': '2022-03-20 19:11:12.952140', 'endTime': '2022-03-20 19:11:39.980334', 'pin': 17}; machine turned off ; endTime:2022-03-20 19:11:39.980334
